Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S39683772,Canada Goose,Branta canadensis,277,90,CA-BC,Metro Vancouver,"Crescent Beach, Surrey",49.048169,-122.8831722,10-08-2017,02:47 PM,eBird - Traveling Count,59,1,2.03,,2,F Flyover
S39366822,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,"Elgin Heritage Park, South Surrey",49.0645877,-122.8478336,09-24-2017,09:29 AM,eBird - Traveling Count,70,1,1.7,,4,F Flyover
S34940156,Canada Goose,Branta canadensis,277,4,CA-BC,Metro Vancouver,Halston Court,49.2481095,-122.9028062,03-03-2017,02:12 PM,eBird - Traveling Count,26,1,.2,,2,,,Raining. Seems like all the birds from Keswick are here instead
S35750357,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Halston Court,49.2481095,-122.9028062,04-06-2017,06:14 PM,eBird - Traveling Count,23,1,.3,,2
S35770770,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Halston Court,49.2481095,-122.9028062,04-07-2017,01:43 PM,eBird - Traveling Count,24,1,.45,,2
S36569573,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Halston Court,49.2481095,-122.9028062,05-05-2017,01:32 PM,eBird - Traveling Count,22,1,.2,,2
S43123448,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Halston Court,49.2481095,-122.9028062,02-17-2018,10:55 AM,eBird - Stationary Count,65,1,,,2
S42331853,Canada Goose,Branta canadensis,277,9,CA-BC,Metro Vancouver,Hastings Racecourse,49.2870951,-123.0394506,12-17-2017,03:00 PM,eBird - Stationary Count,40,1,,,4,,,Part of Vancouver CBC
S36440761,Canada Goose,Branta canadensis,277,3,CA-BC,Metro Vancouver,Iona Island beach,49.2194472,-123.214159,04-30-2017,11:30 AM,eBird - Stationary Count,18,1,,,5
S36440747,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Iona Island outer pond,49.2191667,-123.2116667,04-30-2017,10:54 AM,eBird - Stationary Count,5,1,,,5
S34770987,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Mall Parking Lot,49.24968,-122.8983912,02-24-2017,02:15 PM,eBird - Traveling Count,10,1,.3,,2,,Female goose banded with a yellow band on one foot and a silver band on the other.
S34788964,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Mall Parking Lot,49.24968,-122.8983912,02-25-2017,10:30 AM,eBird - Traveling Count,7,1,.3,,2,,Continuing,Walking to mall
S36411745,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,New Westminster Quay,49.2004818,-122.9107304,04-28-2017,07:57 PM,eBird - Traveling Count,23,1,.55,,4
S36639944,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,North Vancouver--Maplewood Conservation Area,49.305843,-123.00034,05-07-2017,12:28 PM,eBird - Traveling Count,210,1,2.8,,2
S35460881,Canada Goose,Branta canadensis,277,2,CA-BC,Metro Vancouver,Piper Ave,49.2536197,-122.93528,03-26-2017,02:22 PM,eBird - Traveling Count,22,1,1.1,,2
S34820123,Canada Goose,Branta canadensis,277,20,CA-BC,Metro Vancouver,Port Moody--Rocky Point Park,49.2807964,-122.8492069,02-26-2017,10:37 AM,eBird - Traveling Count,92,1,2,,2,,,On pier and in woods
S38948739,Canada Goose,Branta canadensis,277,17,CA-BC,Metro Vancouver,Port Moody--Rocky Point Park,49.2807964,-122.8492069,09-01-2017,08:27 PM,eBird - Stationary Count,5,1,,,3,F Flyover
S34966776,Canada Goose,Branta canadensis,277,8,CA-BC,Metro Vancouver,Port Moody--Shoreline Park,49.2840648,-122.8348947,03-04-2017,01:28 PM,eBird - Traveling Count,228,1,3,,2,,,Walked from shoreline park to old orchard park via the pedestrian paths (not the bike path)
S36501303,Canada Goose,Branta canadensis,277,44,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,05-02-2017,09:36 AM,eBird - Traveling Count,128,1,1,,4
S36494420,Canada Goose,Branta canadensis,277,3,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,05-02-2017,11:49 AM,eBird - Stationary Count,31,1,,,4,NE Nest with Eggs,,From viewing platform at north end.
S36501839,Canada Goose,Branta canadensis,277,39,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,05-02-2017,12:22 PM,eBird - Traveling Count,100,1,1.7,,4,,,Outer perimeter of sanctuary.
S36494463,Canada Goose,Branta canadensis,277,29,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,05-02-2017,02:19 PM,eBird - Traveling Count,33,1,.4,,3
S39353586,Canada Goose,Branta canadensis,277,50,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,09-23-2017,09:25 AM,eBird - Traveling Count,243,1,2.5,,5
S43385660,Canada Goose,Branta canadensis,277,26,CA-BC,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,03-04-2018,12:01 PM,eBird - Traveling Count,214,1,3,,5
S36002348,Canada Goose,Branta canadensis,277,80,CA-BC,Metro Vancouver,Serpentine Fen,49.0856161,-122.8261546,04-15-2017,01:45 PM,eBird - Traveling Count,241,1,4.5,,2
S35837406,Canada Goose,Branta canadensis,277,12,CA-BC,Metro Vancouver,Sperling to Piper Spit,49.2490447,-122.9565147,04-09-2017,11:43 AM,eBird - Traveling Count,136,1,3.1,,3
S35420807,Canada Goose,Branta canadensis,277,28,CA-BC,Metro Vancouver,Stanley Park--Lost Lagoon,49.295632,-123.1403017,03-25-2017,11:30 AM,eBird - Traveling Count,75,1,.8,,3
